категория;ПРОДУКТ;ВОДА;БЕЛКИ;ЖИРЫ;УГЛЕВОДЫ;ККАЛ;сырой/готовый
КРУПЫ;Гречневая ядрица;14.0;12.6;2.6;68.0;329.0;СЫРОЙ ВИД
КРУПЫ;Гречневая продел;14.0;9.5;1.9;72.2;326.0;СЫРОЙ ВИД
КРУПЫ;Манная;14.0;11.3;0.7;73.3;326.0;СЫРОЙ ВИД
КРУПЫ;Овсяная;12.0;11.9;5.8;65.4;345.0;СЫРОЙ ВИД
КРУПЫ;Перловая;14.0;9.3;1.1;73.7;324.0;СЫРОЙ ВИД
КРУПЫ;Пшено;14.0;12.0;2.9;69.3;334.0;СЫРОЙ ВИД
КРУПЫ;Рисовая;14.0;7.0;0.6;73.7;323.0;СЫРОЙ ВИД
КРУПЫ;Пшеничная “Полтавская”;14.0;12.7;1.1;70.6;325.0;СЫРОЙ ВИД
КРУПЫ;Толокно;10.0;12.2;5.8;68.3;357.0;СЫРОЙ ВИД
КРУПЫ;Ячневая;14.0;10.4;1.3;71.7;322.0;СЫРОЙ ВИД
КРУПЫ;Геркулес;12.0;13.1;6.2;65.7;355.0;СЫРОЙ ВИД
КРУПЫ;Кукурузная;14.0;8.3;1.2;75.0;325.0;СЫРОЙ ВИД
КРУПЫ;Бобы;83.0;6.0;0.1;8.3;58.0;СЫРОЙ ВИД
КРУПЫ;Горох лущеный;14.0;23.0;1.6;57.7;323.0;СЫРОЙ ВИД
КРУПЫ;Горох цельный;14.0;23.0;1.2;53.3;303.0;СЫРОЙ ВИД
КРУПЫ;Соя;12.0;34.9;17.3;26.5;395.0;СЫРОЙ ВИД
КРУПЫ;Фасоль;14.0;22.3;1.7;54.5;309.0;СЫРОЙ ВИД
КРУПЫ;Чечевица;14.0;24.8;1.1;53.7;310.0;СЫРОЙ ВИД
КРУПЫ;Гречневая ядрица;4.158;0.8580000000000001;22.44;108.57000000000001;329.0;ГОТОВЫЙ ВИД
КРУПЫ;Гречневая продел;3.1350000000000002;0.627;23.826;107.58;326.0;ГОТОВЫЙ ВИД
КРУПЫ;Манная;3.7290000000000005;0.23099999999999998;24.189;107.58;326.0;ГОТОВЫЙ ВИД
КРУПЫ;Овсяная;3.9270000000000005;1.914;21.582000000000004;113.85000000000001;345.0;ГОТОВЫЙ ВИД
КРУПЫ;Перловая;3.0690000000000004;0.36300000000000004;24.321;106.92;324.0;ГОТОВЫЙ ВИД
КРУПЫ;Пшено;3.96;0.957;22.869;110.22;334.0;ГОТОВЫЙ ВИД
КРУПЫ;Рисовая;2.31;0.198;24.321;106.59;323.0;ГОТОВЫЙ ВИД
